{'start_epoch': 1657747562, 'end_epoch': 1657747925, 'buy_price': 19752.81, 'sell_price': 19756.76, 'profit': 0.0002, 'trail_stop': None}
{'start_epoch': 1657748043, 'end_epoch': 1657748406, 'buy_price': 19785.09, 'sell_price': 19789.05, 'profit': 0.0002, 'trail_stop': None}
{'start_epoch': 1657748582, 'end_epoch': 1657749482, 'buy_price': 19804.31, 'sell_price': 19808.27, 'profit': 0.0002, 'trail_stop': None}
{'start_epoch': 1657749723, 'end_epoch': 1657750025, 'buy_price': 19944.33, 'sell_price': 19948.32, 'profit': 0.0002, 'trail_stop': None}
{'start_epoch': 1657752962, 'end_epoch': 1657753024, 'buy_price': 19845.5, 'sell_price': 19828.14, 'profit': -0.00087, 'trail_stop': None}
{'start_epoch': 1657753323, 'end_epoch': 1657753864, 'buy_price': 19850.3, 'sell_price': 19854.27, 'profit': 0.0002, 'trail_stop': None}
{'start_epoch': 1657754103, 'end_epoch': 1657754465, 'buy_price': 19963.19, 'sell_price': 19967.18, 'profit': 0.0002, 'trail_stop': None}
{'start_epoch': 1657755723, 'end_epoch': 1657756025, 'buy_price': 20177.26, 'sell_price': 20181.3, 'profit': 0.0002, 'trail_stop': None}
{'start_epoch': 1657756264, 'end_epoch': 1657756505, 'buy_price': 20203.71, 'sell_price': 20207.75, 'profit': 0.0002, 'trail_stop': None}
{'start_epoch': 1657756682, 'end_epoch': 1657757284, 'buy_price': 20253.95, 'sell_price': 20258.0, 'profit': 0.0002, 'trail_stop': None}
{'start_epoch': 1657758663, 'end_epoch': 1657759023, 'buy_price': 20231.91, 'sell_price': 20194.77, 'profit': -0.00184, 'trail_stop': None}
{'start_epoch': 1657759083, 'end_epoch': 1657760225, 'buy_price': 20226.87, 'sell_price': 20230.92, 'profit': 0.0002, 'trail_stop': None}
{'start_epoch': 1657763283, 'end_epoch': 1657763463, 'buy_price': 20250.31, 'sell_price': 20254.36, 'profit': 0.0002, 'trail_stop': None}
{'start_epoch': 1657765863, 'end_epoch': 1657765924, 'buy_price': 20235.81, 'sell_price': 20239.86, 'profit': 0.0002, 'trail_stop': None}
{'start_epoch': 1657765982, 'end_epoch': 1657766524, 'buy_price': 20247.0, 'sell_price': 20251.05, 'profit': 0.0002, 'trail_stop': None}
{'start_epoch': 1657771562, 'end_epoch': 1657772343, 'buy_price': 20201.22, 'sell_price': 20205.26, 'profit': 0.0002, 'trail_stop': None}
{'start_epoch': 1657773004, 'end_epoch': 1657773363, 'buy_price': 20129.74, 'sell_price': 20133.77, 'profit': 0.0002, 'trail_stop': None}
{'start_epoch': 1657775763, 'end_epoch': 1657776183, 'buy_price': 20150.68, 'sell_price': 20154.71, 'profit': 0.0002, 'trail_stop': None}
{'start_epoch': 1657778761, 'end_epoch': 1657779123, 'buy_price': 20094.08, 'sell_price': 20098.1, 'profit': 0.0002, 'trail_stop': None}
{'start_epoch': 1657779542, 'end_epoch': 1657779905, 'buy_price': 20099.36, 'sell_price': 20103.38, 'profit': 0.0002, 'trail_stop': None}
{'start_epoch': 1657781103, 'end_epoch': 1657781462, 'buy_price': 20000.62, 'sell_price': 20004.62, 'profit': 0.0002, 'trail_stop': None}
{'start_epoch': 1657784223, 'end_epoch': 1657784402, 'buy_price': 19999.48, 'sell_price': 20003.48, 'profit': 0.0002, 'trail_stop': None}
{'start_epoch': 1657785121, 'end_epoch': 1657785546, 'buy_price': 19963.11, 'sell_price': 19967.1, 'profit': 0.0002, 'trail_stop': None}
{'start_epoch': 1657785661, 'end_epoch': 1657785965, 'buy_price': 20003.25, 'sell_price': 20007.25, 'profit': 0.0002, 'trail_stop': None}
{'start_epoch': 1657792383, 'end_epoch': 1657792625, 'buy_price': 19795.98, 'sell_price': 19799.94, 'profit': 0.0002, 'trail_stop': None}
{'start_epoch': 1657792683, 'end_epoch': 1657792984, 'buy_price': 19796.83, 'sell_price': 19800.79, 'profit': 0.0002, 'trail_stop': None}
{'start_epoch': 1657794962, 'end_epoch': 1657795443, 'buy_price': 19788.81, 'sell_price': 19792.77, 'profit': 0.0002, 'trail_stop': None}
{'start_epoch': 1657795503, 'end_epoch': 1657795686, 'buy_price': 19814.52, 'sell_price': 19818.48, 'profit': 0.0002, 'trail_stop': None}
{'start_epoch': 1657799462, 'end_epoch': 1657799763, 'buy_price': 19740.47, 'sell_price': 19744.42, 'profit': 0.0002, 'trail_stop': None}
{'start_epoch': 1657801922, 'end_epoch': 1657802463, 'buy_price': 19773.09, 'sell_price': 19777.05, 'profit': 0.0002, 'trail_stop': None}
{'start_epoch': 1657803544, 'end_epoch': 1657804024, 'buy_price': 19773.43, 'sell_price': 19777.38, 'profit': 0.0002, 'trail_stop': None}
{'start_epoch': 1657806062, 'end_epoch': 1657806122, 'buy_price': 19664.96, 'sell_price': 19668.89, 'profit': 0.0002, 'trail_stop': None}
{'start_epoch': 1657809062, 'end_epoch': 1657809124, 'buy_price': 19740.07, 'sell_price': 19688.48, 'profit': -0.00261, 'trail_stop': None}
{'start_epoch': 1657809243, 'end_epoch': 1657809604, 'buy_price': 19747.49, 'sell_price': 19752.43, 'profit': 0.00025, 'trail_stop': None}
{'start_epoch': 1657811884, 'end_epoch': 1657812245, 'buy_price': 20140.1, 'sell_price': 20145.14, 'profit': 0.00025, 'trail_stop': None}
{'start_epoch': 1657813144, 'end_epoch': 1657813564, 'buy_price': 20159.99, 'sell_price': 20165.03, 'profit': 0.00025, 'trail_stop': None}
{'start_epoch': 1657813682, 'end_epoch': 1657814044, 'buy_price': 20392.26, 'sell_price': 20397.36, 'profit': 0.00025, 'trail_stop': None}
{'start_epoch': 1657815723, 'end_epoch': 1657816026, 'buy_price': 20341.38, 'sell_price': 20346.47, 'profit': 0.00025, 'trail_stop': None}
{'start_epoch': 1657817224, 'end_epoch': 1657817344, 'buy_price': 20295.13, 'sell_price': 20249.07, 'profit': -0.00227, 'trail_stop': None}
{'start_epoch': 1657818962, 'end_epoch': 1657819984, 'buy_price': 20274.9, 'sell_price': 20280.98, 'profit': 0.0003, 'trail_stop': None}
{'start_epoch': 1657823403, 'end_epoch': 1657823523, 'buy_price': 20681.66, 'sell_price': 20687.86, 'profit': 0.0003, 'trail_stop': None}
{'start_epoch': 1657823822, 'end_epoch': 1657824124, 'buy_price': 20690.04, 'sell_price': 20696.25, 'profit': 0.0003, 'trail_stop': None}
{'start_epoch': 1657824423, 'end_epoch': 1657824784, 'buy_price': 20703.93, 'sell_price': 20710.14, 'profit': 0.0003, 'trail_stop': None}
{'start_epoch': 1657834624, 'end_epoch': 1657834864, 'buy_price': 20557.76, 'sell_price': 20563.93, 'profit': 0.0003, 'trail_stop': None}
{'start_epoch': 1657837981, 'end_epoch': 1657838344, 'buy_price': 20481.08, 'sell_price': 20487.22, 'profit': 0.0003, 'trail_stop': None}
{'start_epoch': 1657840803, 'end_epoch': 1657841104, 'buy_price': 20505.69, 'sell_price': 20511.84, 'profit': 0.0003, 'trail_stop': None}
{'start_epoch': 1657841282, 'end_epoch': 1657842305, 'buy_price': 20536.26, 'sell_price': 20542.42, 'profit': 0.0003, 'trail_stop': None}
{'start_epoch': 1657849142, 'end_epoch': 1657849925, 'buy_price': 20443.13, 'sell_price': 20449.26, 'profit': 0.0003, 'trail_stop': None}
{'start_epoch': 1657850102, 'end_epoch': 1657850763, 'buy_price': 20482.46, 'sell_price': 20488.6, 'profit': 0.0003, 'trail_stop': None}
{'start_epoch': 1657854304, 'end_epoch': 1657854905, 'buy_price': 20496.26, 'sell_price': 20502.41, 'profit': 0.0003, 'trail_stop': None}
{'start_epoch': 1657856762, 'end_epoch': 1657857064, 'buy_price': 20527.6, 'sell_price': 20533.76, 'profit': 0.0003, 'trail_stop': None}
{'start_epoch': 1657858083, 'end_epoch': 1657858504, 'buy_price': 20619.59, 'sell_price': 20625.78, 'profit': 0.0003, 'trail_stop': None}
{'start_epoch': 1657861561, 'end_epoch': 1657861864, 'buy_price': 20545.21, 'sell_price': 20551.37, 'profit': 0.0003, 'trail_stop': None}
{'start_epoch': 1657862283, 'end_epoch': 1657862643, 'buy_price': 20554.07, 'sell_price': 20560.24, 'profit': 0.0003, 'trail_stop': None}
{'start_epoch': 1657863422, 'end_epoch': 1657863784, 'buy_price': 20608.89, 'sell_price': 20615.07, 'profit': 0.0003, 'trail_stop': None}
{'start_epoch': 1657864082, 'end_epoch': 1657864625, 'buy_price': 20599.64, 'sell_price': 20605.82, 'profit': 0.0003, 'trail_stop': None}
{'start_epoch': 1657864743, 'end_epoch': 1657864985, 'buy_price': 20657.32, 'sell_price': 20635.03, 'profit': -0.00108, 'trail_stop': None}
{'start_epoch': 1657865942, 'end_epoch': 1657866244, 'buy_price': 20656.54, 'sell_price': 20614.52, 'profit': -0.00203, 'trail_stop': None}
{'start_epoch': 1657866482, 'end_epoch': 1657866846, 'buy_price': 20654.5, 'sell_price': 20660.69, 'profit': 0.0003, 'trail_stop': None}
{'start_epoch': 1657868941, 'end_epoch': 1657869303, 'buy_price': 20651.84, 'sell_price': 20658.04, 'profit': 0.0003, 'trail_stop': None}
{'start_epoch': 1657869604, 'end_epoch': 1657870383, 'buy_price': 20726.78, 'sell_price': 20733.0, 'profit': 0.0003, 'trail_stop': None}
{'start_epoch': 1657871883, 'end_epoch': 1657872184, 'buy_price': 20814.58, 'sell_price': 20820.82, 'profit': 0.0003, 'trail_stop': None}
{'start_epoch': 1657873382, 'end_epoch': 1657873984, 'buy_price': 20760.66, 'sell_price': 20768.96, 'profit': 0.0004, 'trail_stop': None}
{'start_epoch': 1657879621, 'end_epoch': 1657879744, 'buy_price': 20906.11, 'sell_price': 20852.99, 'profit': -0.00254, 'trail_stop': None}
{'start_epoch': 1657881782, 'end_epoch': 1657882383, 'buy_price': 20829.44, 'sell_price': 20837.77, 'profit': 0.0004, 'trail_stop': None}
{'start_epoch': 1657882681, 'end_epoch': 1657882802, 'buy_price': 20869.2, 'sell_price': 20877.55, 'profit': 0.0004, 'trail_stop': None}
{'start_epoch': 1657882923, 'end_epoch': 1657883044, 'buy_price': 20874.75, 'sell_price': 20851.13, 'profit': -0.00113, 'trail_stop': None}
{'start_epoch': 1657891189, 'end_epoch': 1657891384, 'buy_price': 20957.29, 'sell_price': 20965.68, 'profit': 0.0004, 'trail_stop': None}
{'start_epoch': 1657904223, 'end_epoch': 1657904585, 'buy_price': 20746.6, 'sell_price': 20754.9, 'profit': 0.0004, 'trail_stop': None}
{'start_epoch': 1657904703, 'end_epoch': 1657905489, 'buy_price': 20767.11, 'sell_price': 20775.42, 'profit': 0.0004, 'trail_stop': None}
{'start_epoch': 1657907283, 'end_epoch': 1657907644, 'buy_price': 20839.41, 'sell_price': 20847.75, 'profit': 0.0004, 'trail_stop': None}
{'start_epoch': 1657908903, 'end_epoch': 1657909503, 'buy_price': 20788.45, 'sell_price': 20796.77, 'profit': 0.0004, 'trail_stop': None}
{'start_epoch': 1657909742, 'end_epoch': 1657910105, 'buy_price': 20844.0, 'sell_price': 20852.34, 'profit': 0.0004, 'trail_stop': None}
{'start_epoch': 1657910342, 'end_epoch': 1657911364, 'buy_price': 20884.0, 'sell_price': 20892.35, 'profit': 0.0004, 'trail_stop': None}
{'start_epoch': 1657911602, 'end_epoch': 1657911905, 'buy_price': 21018.47, 'sell_price': 21026.88, 'profit': 0.0004, 'trail_stop': None}
{'start_epoch': 1657914181, 'end_epoch': 1657914543, 'buy_price': 21074.71, 'sell_price': 21083.14, 'profit': 0.0004, 'trail_stop': None}
{'start_epoch': 1657921204, 'end_epoch': 1657921443, 'buy_price': 20947.71, 'sell_price': 20956.09, 'profit': 0.0004, 'trail_stop': None}
{'start_epoch': 1657922461, 'end_epoch': 1657922586, 'buy_price': 20982.12, 'sell_price': 20949.95, 'profit': -0.00153, 'trail_stop': None}
